"","s1"
"(Intercept)",-2.67171195497196
"sales_mil_log",0
"sales_mil_log_sq",0.349875516619589
"total_assets_bs",0
"fixed_assets_bs",0
"liq_assets_bs",0
"curr_assets_bs",0
"share_eq_bs",0
"subscribed_cap_bs",0
"intang_assets_bs",0.0217958442448473
"extra_exp_pl",0
"extra_inc_pl",0
"extra_profit_loss_pl",0
"inc_bef_tax_pl",0
"inventories_pl",0.0911413858277626
"material_exp_pl",0
"profit_loss_year_pl",0
"personnel_exp_pl",-0.00914283506882183
"extra_profit_loss_pl_quad",0
"inc_bef_tax_pl_quad",0
"profit_loss_year_pl_quad",0.10542446079451
"share_eq_bs_quad",0
"extra_profit_loss_pl_flag_low",0
"inc_bef_tax_pl_flag_low",0
"profit_loss_year_pl_flag_low",0
"share_eq_bs_flag_low",0
"extra_exp_pl_flag_high",0
"extra_inc_pl_flag_high",0
"inventories_pl_flag_high",0
"material_exp_pl_flag_high",0.088563031750387
"personnel_exp_pl_flag_high",0
"curr_liab_bs_flag_high",0
"liq_assets_bs_flag_high",0
"subscribed_cap_bs_flag_high",0
"extra_profit_loss_pl_flag_high",0
"inc_bef_tax_pl_flag_high",0
"profit_loss_year_pl_flag_high",0.00679686491107349
"share_eq_bs_flag_high",0
"extra_exp_pl_flag_error",0
"extra_inc_pl_flag_error",0
"inventories_pl_flag_error",0
"material_exp_pl_flag_error",0
"personnel_exp_pl_flag_error",0
"curr_liab_bs_flag_error",0.00557272952227004
"liq_assets_bs_flag_error",0
"extra_profit_loss_pl_flag_zero",0
"inc_bef_tax_pl_flag_zero",0
"profit_loss_year_pl_flag_zero",0
"share_eq_bs_flag_zero",0
"d1_sales_mil_log_mod",-0.121834105388822
"d1_sales_mil_log_mod_sq",0.314239457639556
"flag_low_d1_sales_mil_log",-0.0817100808689285
"flag_high_d1_sales_mil_log",0
"female",0
"ceo_age",-0.118717648859481
"flag_high_ceo_age",0
"flag_low_ceo_age",-0.0380519454619826
"flag_miss_ceo_age",0
"ceo_count",0
"labor_avg_mod",-0.0581796516715076
"flag_miss_labor_avg",0
"foreign_management",0
"age",-0.169051790202434
"age2",0
"new",0
"ind2_cat27",0
"ind2_cat28",0
"ind2_cat29",0
"ind2_cat30",0
"ind2_cat33",0.0682489410861552
"ind2_cat55",0
"ind2_cat56",-0.0718864419321195
"m_region_locEast",0
"m_region_locWest",0
"urban_m2",0
"urban_m3",0
"balsheet_flag",0
"balsheet_length",0
"balsheet_notfullyear",0
"age:ind2_cat27",0
"age:ind2_cat28",0
"age:ind2_cat29",0
"age:ind2_cat30",0
"age:ind2_cat33",0
"age:ind2_cat55",0
"age:ind2_cat56",-0.134581031904229
"age2:ind2_cat27",0
"age2:ind2_cat28",0
"age2:ind2_cat29",0
"age2:ind2_cat30",0
"age2:ind2_cat33",0
"age2:ind2_cat55",0
"age2:ind2_cat56",0
"d1_sales_mil_log_mod:ind2_cat27",0
"d1_sales_mil_log_mod:ind2_cat28",-0.054915030957616
"d1_sales_mil_log_mod:ind2_cat29",-0.0367569265114198
"d1_sales_mil_log_mod:ind2_cat30",0
"d1_sales_mil_log_mod:ind2_cat33",0
"d1_sales_mil_log_mod:ind2_cat55",0
"d1_sales_mil_log_mod:ind2_cat56",0
"sales_mil_log:ind2_cat27",0
"sales_mil_log:ind2_cat28",0
"sales_mil_log:ind2_cat29",0
"sales_mil_log:ind2_cat30",-0.0157081828965959
"sales_mil_log:ind2_cat33",0
"sales_mil_log:ind2_cat55",0
"sales_mil_log:ind2_cat56",0
"ceo_age:ind2_cat27",0
"ceo_age:ind2_cat28",0
"ceo_age:ind2_cat29",0
"ceo_age:ind2_cat30",0
"ceo_age:ind2_cat33",0
"ceo_age:ind2_cat55",0
"ceo_age:ind2_cat56",0
"foreign_management:ind2_cat27",0
"foreign_management:ind2_cat28",0
"foreign_management:ind2_cat29",0
"foreign_management:ind2_cat30",0
"foreign_management:ind2_cat33",0
"foreign_management:ind2_cat55",0
"foreign_management:ind2_cat56",0
"female:ind2_cat27",0
"female:ind2_cat28",0.0431970576647932
"female:ind2_cat29",0
"female:ind2_cat30",0
"female:ind2_cat33",0
"female:ind2_cat55",0
"female:ind2_cat56",0
"ind2_cat27:urban_m2",0
"ind2_cat28:urban_m2",0
"ind2_cat29:urban_m2",0
"ind2_cat30:urban_m2",0.00353002372856256
"ind2_cat33:urban_m2",0
"ind2_cat55:urban_m2",0
"ind2_cat56:urban_m2",0
"ind2_cat27:urban_m3",0
"ind2_cat28:urban_m3",0.000374339487786528
"ind2_cat29:urban_m3",0
"ind2_cat30:urban_m3",0
"ind2_cat33:urban_m3",0
"ind2_cat55:urban_m3",0
"ind2_cat56:urban_m3",-0.0157164426749401
"labor_avg_mod:ind2_cat27",0
"labor_avg_mod:ind2_cat28",0
"labor_avg_mod:ind2_cat29",0
"labor_avg_mod:ind2_cat30",0
"labor_avg_mod:ind2_cat33",0
"labor_avg_mod:ind2_cat55",0
"labor_avg_mod:ind2_cat56",0
"sales_mil_log:age",0
"sales_mil_log:female",0
"sales_mil_log:profit_loss_year_pl",0
"sales_mil_log:foreign_management",-0.042894289025574
